code,lat,lon
ABE,40.652,-75.443
ABI,32.411,-99.682
ABQ,35.04,-106.609
ABR,45.449,-98.422
ABY,31.533,-84.196
ACA,16.757,-99.753
ACC,5.605,-0.167
ACK,41.253,-70.06
ACT,31.611,-97.23
ACV,40.978,-124.109
ACY,39.456,-74.578
ADK,51.884,-176.643
ADL,-34.948,138.533
ADQ,57.75,-152.494
AEX,31.326,-92.547
AFW,32.99,-97.319
AGA,30.322,-9.412
AGP,36.675,-4.499
AGS,33.37,-81.964
AGU,21.7,-102.318
AKL,-37.012,174.786
AKN,58.678,-156.652
ALB,42.748,-73.802
ALO,42.557,-92.4
ALW,46.095,-118.288
AMA,35.218,-101.706
AMM,31.723,35.993
AMS,52.309,4.764
ANC,61.179,-149.993
ANF,-23.445,-70.445
ANU,17.137,-61.793
APC,38.213,-122.281
APN,45.078,-83.56
APW,-13.83,-172.008
ARN,59.648,17.929
ART,43.992,-76.022
ASE,39.223,-106.869
ATH,37.936,23.944
ATL,33.637,-84.428
ATW,44.259,-88.519
ATY,44.914,-97.155
AUA,12.501,-70.014
AUS,30.198,-97.662
AVL,35.435,-82.542
AVP,41.337,-75.724
AXA,18.205,-63.054
AXM,4.453,-75.766
AZA,33.308,-111.655
AZO,42.232,-85.55
BAQ,10.89,-74.781
BCN,41.297,2.078
BDA,32.364,-64.678
BDL,41.939,-72.688
BER,52.362,13.502
BET,60.78,-161.838
BFF,41.874,-103.596
BFI,47.527,-122.3
BFL,35.434,-119.057
BGA,7.126,-73.185
BGI,13.075,-59.491
BGM,42.209,-75.98
BGR,44.806,-68.827
BHM,33.563,-86.751
BHX,52.454,-1.748
BIF,31.85,-106.38
BIH,37.373,-118.364
BIL,45.809,-108.541
BIM,25.7,-79.265
BIO,43.301,-2.911
BIS,46.773,-100.747
BJI,47.509,-94.934
BJX,20.993,-101.48
BLI,48.793,-122.538
BLV,38.545,-89.835
BMG,39.146,-86.617
BMI,40.477,-88.916
BNA,36.124,-86.678
BNE,-27.384,153.117
BOG,4.702,-74.147
BOI,43.564,-116.223
BOM,19.089,72.868
BON,12.131,-68.269
BOS,42.362,-71.008
BPT,29.951,-94.021
BQK,31.259,-81.466
BQN,18.495,-67.129
BRD,46.403,-94.13
BRI,41.139,16.761
BRO,25.907,-97.425
BRU,50.901,4.484
BRW,71.285,-156.766
BSB,-15.869,-47.921
BTM,45.955,-112.497
BTR,30.533,-91.15
BTV,44.472,-73.153
BUD,47.43,19.262
BUF,42.94,-78.732
BUR,34.203,-118.358
BWI,39.175,-76.668
BZE,17.54,-88.304
BZN,45.779,-111.154
CAE,33.938,-81.123
CAK,40.916,-81.442
CAP,19.726,-72.201
CBR,-35.307,149.195
CCS,10.602,-66.991
CDC,37.701,-113.099
CDG,49.009,2.554
CDV,60.492,-145.478
CGN,50.866,7.143
CHA,35.035,-85.204
CHC,-43.489,172.532
CHO,38.139,-78.453
CHS,32.896,-80.038
CID,41.885,-91.711
CIU,46.242,-84.462
CKB,39.297,-80.228
CLD,33.128,-117.28
CLE,41.412,-81.85
CLL,30.589,-96.364
CLO,3.543,-76.382
CLT,35.214,-80.943
CMH,39.998,-82.892
CMI,40.04,-88.276
CMN,33.368,-7.59
CMW,21.42,-77.848
CMX,47.168,-88.489
CNF,-19.636,-43.967
CNW,31.641,-97.073
COD,44.52,-109.024
COR,-31.312,-64.208
COS,38.806,-104.701
COU,38.818,-92.22
CPH,55.618,12.656
CPR,42.907,-106.462
CPT,-33.974,18.604
CRK,15.186,120.56
CRP,27.77,-97.501
CRW,38.373,-81.593
CSG,32.516,-84.94
CTA,37.467,15.066
CTG,10.442,-75.513
CTS,42.775,141.69
CUL,24.765,-107.475
CUN,21.041,-86.873
CUR,12.189,-68.96
CUU,28.703,-105.964
CVG,39.049,-84.668
CWA,44.777,-89.67
CYS,41.156,-104.812
CZM,20.515,-86.929
DAB,29.183,-81.059
DAL,32.845,-96.848
DAY,39.902,-84.219
DBV,42.562,18.266
DCA,38.852,-77.038
DDC,37.763,-99.966
DEC,39.835,-88.866
DEL,28.556,77.095
DEN,39.86,-104.674
DFW,32.897,-97.038
DGO,24.125,-104.528
DHN,31.321,-85.45
DIK,46.798,-102.802
DLG,59.045,-158.505
DLH,46.842,-92.199
DOH,25.273,51.608
DOM,15.547,-61.301
DOV,39.13,-75.466
DRO,37.152,-107.754
DSM,41.534,-93.657
DSS,14.671,-17.073
DTW,42.214,-83.354
DUB,53.429,-6.262
DUS,51.29,6.767
DVL,48.115,-98.909
DXB,25.25,55.371
EAR,40.727,-99.007
EAT,47.399,-120.207
EAU,44.866,-91.484
ECP,30.357,-85.795
EDI,55.95,-3.372
EGE,39.643,-106.918
EIS,18.445,-64.542
EKO,40.825,-115.792
ELH,25.476,-76.681
ELM,42.16,-76.892
ELP,31.81,-106.376
ENA,60.571,-151.245
ERI,42.083,-80.174
ESC,45.723,-87.089
EUG,44.125,-123.212
EVV,38.037,-87.532
EWN,35.073,-77.043
EWR,40.689,-74.171
EYW,24.556,-81.76
EZE,-34.822,-58.536
FAI,64.815,-147.856
FAO,37.016,-7.971
FAR,46.921,-96.816
FAT,36.776,-119.718
FAY,34.991,-78.88
FCA,48.311,-114.256
FCO,41.805,12.252
FDF,14.591,-61.003
FLG,35.14,-111.67
FLL,26.073,-80.153
FLO,34.185,-79.724
FMN,36.741,-108.23
FNC,32.698,-16.775
FNL,40.45,-105.011
FNT,42.969,-83.743
FOD,42.553,-94.191
FOE,38.951,-95.664
FPO,26.558,-78.696
FRA,50.027,8.558
FSD,43.585,-96.741
FSM,35.337,-94.367
FUK,33.586,130.451
FWA,40.979,-85.194
GBE,-24.555,25.918
GCC,44.349,-105.539
GCK,37.928,-100.724
GCM,19.293,-81.358
GDL,20.523,-103.31
GEG,47.62,-117.534
GEO,6.499,-58.254
GFK,47.949,-97.176
GGG,32.384,-94.712
GGT,23.563,-75.878
GHB,25.285,-76.331
GIG,-22.81,-43.251
GJT,39.127,-108.529
GLA,55.872,-4.433
GMP,37.558,126.791
GND,12.004,-61.785
GNV,29.69,-82.272
GOH,64.191,-51.679
GPT,30.406,-89.07
GRB,44.483,-88.131
GRI,40.967,-98.31
GRK,31.067,-97.829
GRR,42.881,-85.523
GRU,-23.431,-46.47
GSO,36.099,-79.937
GSP,34.896,-82.219
GST,58.425,-135.707
GTF,47.482,-111.371
GTR,33.45,-88.591
GUA,14.583,-90.528
GUC,38.535,-106.935
GUF,30.291,-87.672
GUM,13.485,144.797
GVA,46.238,6.109
GYE,-2.157,-79.884
GYR,33.423,-112.376
HAK,19.935,110.459
HAV,22.989,-82.409
HDN,40.481,-107.218
HGR,39.709,-77.728
HHH,32.224,-80.698
HIB,47.385,-92.837
HKG,22.312,113.915
HLN,46.607,-111.983
HMO,29.093,-111.053
HND,35.55,139.787
HNL,21.318,-157.926
HOB,32.688,-103.217
HOG,20.785,-76.316
HOU,29.645,-95.277
HPN,41.067,-73.708
HRL,26.229,-97.654
HSV,34.636,-86.774
HTS,38.367,-82.558
HUF,39.452,-87.308
HUX,15.775,-96.26
HYA,41.669,-70.28
HYS,38.845,-99.273
IAD,38.944,-77.456
IAG,43.107,-78.946
IAH,29.984,-95.341
ICN,37.469,126.451
ICT,37.65,-97.429
IDA,43.515,-112.071
IFP,35.155,-114.559
IGM,35.259,-113.938
ILM,34.272,-77.905
IMT,45.819,-88.115
IND,39.717,-86.294
INL,48.566,-93.403
ISM,28.29,-81.437
ISO,35.331,-77.609
ISP,40.796,-73.102
IST,41.275,28.732
ITH,42.491,-76.458
ITO,19.721,-155.045
JAC,43.607,-110.738
JAI,26.824,75.812
JAN,32.311,-90.076
JAX,30.492,-81.688
JFK,40.639,-73.779
JLN,37.152,-94.498
JMS,46.93,-98.678
JNB,-26.14,28.247
JNU,58.355,-134.574
JST,40.316,-78.834
KEF,63.985,-22.606
KIN,17.936,-76.787
KIX,34.427,135.244
KOA,19.739,-156.046
KSA,5.357,162.958
KTN,55.356,-131.714
KWA,8.72,167.732
LAF,40.413,-86.939
LAN,42.778,-84.586
LAP,24.072,-110.363
LAR,41.312,-105.675
LAS,36.083,-115.152
LAW,34.568,-98.417
LAX,33.943,-118.408
LBB,33.664,-101.823
LBE,40.276,-79.405
LBF,41.126,-100.684
LBL,37.044,-100.96
LCH,30.126,-93.223
LCK,39.814,-82.928
LEX,38.035,-84.607
LFT,30.205,-91.988
LFW,6.166,1.255
LGA,40.777,-73.873
LGB,33.817,-118.15
LGW,51.149,-0.186
LHR,51.471,-0.46
LIH,21.974,-159.337
LIM,-12.022,-77.114
LIR,10.593,-85.544
LIS,38.781,-9.136
LIT,34.729,-92.224
LNK,40.845,-96.762
LOS,6.577,3.321
LRD,27.544,-99.462
LRM,18.452,-68.911
LRU,32.289,-106.922
LSE,43.879,-91.257
LTO,25.99,-111.348
LUX,49.627,6.212
LWS,46.375,-117.015
LYH,37.327,-79.2
MAD,40.493,-3.572
MAF,31.942,-102.202
MAJ,7.065,171.272
MAN,53.349,-2.28
MAO,-3.039,-60.05
MBJ,18.503,-77.913
MBS,43.533,-84.083
MCI,39.302,-94.714
MCN,32.693,-83.649
MCO,28.429,-81.309
MCT,23.6,58.285
MCW,43.16,-93.33
MDE,6.165,-75.423
MDT,40.193,-76.762
MDW,41.786,-87.752
MDZ,-32.832,-68.793
MEC,-0.946,-80.679
MEI,32.333,-88.752
MEL,-37.671,144.838
MEM,35.044,-89.976
MEX,19.436,-99.07
MFE,26.176,-98.238
MFR,42.374,-122.873
MGA,12.142,-86.168
MGM,32.301,-86.394
MGW,39.643,-79.918
MHH,26.511,-77.084
MHK,39.141,-96.671
MHT,42.933,-71.436
MIA,25.796,-80.29
MID,20.93,-89.645
MKE,42.947,-87.897
MLB,28.102,-80.641
MLI,41.449,-90.508
MLM,19.85,-101.025
MLU,32.511,-92.038
MNL,14.509,121.02
MOB,30.691,-88.243
MOT,48.258,-101.279
MQT,46.351,-87.396
MRY,36.587,-121.844
MSN,43.14,-89.338
MSO,46.916,-114.091
MSP,44.88,-93.222
MSY,29.993,-90.265
MTJ,38.51,-107.894
MTY,25.779,-100.107
MUC,48.354,11.786
MVD,-34.836,-56.026
MVY,41.393,-70.614
MWH,47.208,-119.32
MXP,45.631,8.728
MYR,33.68,-78.928
MZJ,32.511,-111.328
MZT,23.163,-106.265
NAN,-17.762,177.438
NAP,40.886,14.291
NAS,25.039,-77.466
NCE,43.658,7.216
NGO,34.858,136.805
NKG,31.735,118.866
NLU,19.744,-99.015
NRT,35.769,140.389
OAJ,34.829,-77.612
OAK,37.72,-122.221
OAX,16.999,-96.726
OCJ,18.404,-76.97
OGD,41.196,-112.012
OGG,20.896,-156.432
OKC,35.393,-97.598
OLB,40.899,9.518
