code,tz
ABE,America/New_York
ABI,America/Chicago
ABQ,America/Denver
ABR,America/Chicago
ABY,America/New_York
ACA,America/Mexico_City
ACC,Africa/Accra
ACK,America/New_York
ACT,America/Chicago
ACV,America/Los_Angeles
ACY,America/New_York
ADK,America/Adak
ADL,Australia/Adelaide
ADQ,America/Anchorage
AEX,America/Chicago
AFW,America/Chicago
AGA,Africa/Casablanca
AGP,Europe/Madrid
AGS,America/New_York
AGU,America/Mexico_City
AKL,Pacific/Auckland
AKN,America/Anchorage
ALB,America/New_York
ALO,America/Chicago
ALW,America/Los_Angeles
AMA,America/Chicago
AMM,Asia/Amman
AMS,Europe/Amsterdam
ANC,America/Anchorage
ANF,America/Santiago
ANU,America/Antigua
APC,America/Los_Angeles
APN,America/New_York
APW,Pacific/Apia
ARN,Europe/Stockholm
ART,America/New_York
ASE,America/Denver
ATH,Europe/Athens
ATL,America/New_York
ATW,America/Chicago
ATY,America/Chicago
AUA,America/Aruba
AUS,America/Chicago
AVL,America/New_York
AVP,America/New_York
AXA,America/Anguilla
AXM,America/Bogota
AZA,America/Phoenix
AZO,America/New_York
BAQ,America/Bogota
BCN,Europe/Madrid
BDA,Atlantic/Bermuda
BDL,America/New_York
BER,Europe/Berlin
BET,America/Anchorage
BFF,America/Denver
BFI,America/Los_Angeles
BFL,America/Los_Angeles
BGA,America/Bogota
BGI,America/Barbados
BGM,America/New_York
BGR,America/New_York
BHM,America/Chicago
BHX,Europe/London
BIF,America/Denver
BIL,America/Denver
BIM,America/Nassau
BIO,Europe/Madrid
BIS,America/Chicago
BJI,America/Chicago
BJX,America/Mexico_City
BLI,America/Los_Angeles
BLV,America/Chicago
BMG,America/New_York
BMI,America/Chicago
BNA,America/Chicago
BNE,Australia/Brisbane
BOG,America/Bogota
BOI,America/Denver
BOM,Asia/Calcutta
BON,America/Curacao
BOS,America/New_York
BPT,America/Chicago
BQK,America/New_York
BQN,America/Puerto_Rico
BRD,America/Chicago
BRI,Europe/Rome
BRO,America/Chicago
BRU,Europe/Brussels
BRW,America/Anchorage
BSB,America/Sao_Paulo
BTM,America/Denver
BTR,America/Chicago
BTV,America/New_York
BUD,Europe/Budapest
BUF,America/New_York
BUR,America/Los_Angeles
BWI,America/New_York
BZE,America/Belize
BZN,America/Denver
CAE,America/New_York
CAK,America/New_York
CAP,America/Port-au-Prince
CBR,Australia/Sydney
CCS,America/Caracas
CDC,America/Denver
CDG,Europe/Paris
CDV,America/Anchorage
CGN,Europe/Berlin
CHA,America/New_York
CHC,Pacific/Auckland
CHO,America/New_York
CHS,America/New_York
CID,America/Chicago
CIU,America/New_York
CKB,America/New_York
CLD,America/Los_Angeles
CLE,America/New_York
CLL,America/Chicago
CLO,America/Bogota
CLT,America/New_York
CMH,America/New_York
CMI,America/Chicago
CMN,Africa/Casablanca
CMW,America/Havana
CMX,America/New_York
CNF,America/Sao_Paulo
CNW,America/Chicago
COD,America/Denver
COR,America/Cordoba
COS,America/Denver
COU,America/Chicago
CPH,Europe/Copenhagen
CPR,America/Denver
CPT,Africa/Johannesburg
CRK,Asia/Manila
CRP,America/Chicago
CRW,America/New_York
CSG,America/New_York
CTA,Europe/Rome
CTG,America/Bogota
CTS,Asia/Tokyo
CUL,America/Mazatlan
CUN,America/Cancun
CUR,America/Curacao
CUU,America/Mazatlan
CVG,America/New_York
CWA,America/Chicago
CYS,America/Denver
CZM,America/Cancun
DAB,America/New_York
DAL,America/Chicago
DAY,America/New_York
DBV,Europe/Zagreb
DCA,America/New_York
DDC,America/Chicago
DEC,America/Chicago
DEL,Asia/Calcutta
DEN,America/Denver
DFW,America/Chicago
DGO,America/Mexico_City
DHN,America/Chicago
DIK,America/Denver
DLG,America/Anchorage
DLH,America/Chicago
DOM,America/Dominica
DOV,America/New_York
DRO,America/Denver
DSM,America/Chicago
DSS,Africa/Dakar
DTW,America/New_York
DUB,Europe/Dublin
DUS,Europe/Berlin
DVL,America/Chicago
DXB,Asia/Dubai
EAT,America/Los_Angeles
EAU,America/Chicago
ECP,America/Chicago
EDI,Europe/London
EGE,America/Denver
EIS,America/Tortola
EKO,America/Los_Angeles
ELH,America/Nassau
ELM,America/New_York
ELP,America/Denver
ENA,America/Anchorage
ERI,America/New_York
ESC,America/New_York
EUG,America/Los_Angeles
EVV,America/Chicago
EWN,America/New_York
EWR,America/New_York
EYW,America/New_York
EZE,America/Buenos_Aires
FAI,America/Anchorage
FAO,Europe/Lisbon
FAR,America/Chicago
FAT,America/Los_Angeles
FAY,America/New_York
FCA,America/Denver
FCO,Europe/Rome
FDF,America/Martinique
FLG,America/Phoenix
FLL,America/New_York
FLO,America/New_York
FMN,America/Denver
FNC,Europe/Lisbon
FNL,America/Denver
FNT,America/New_York
FOD,America/Chicago
FOE,America/Chicago
FPO,America/Nassau
FRA,Europe/Berlin
FSD,America/Chicago
FSM,America/Chicago
FUK,Asia/Tokyo
FWA,America/New_York
GBE,Africa/Gaborone
GCC,America/Denver
GCK,America/Chicago
GCM,America/Cayman
GDL,America/Mexico_City
GEG,America/Los_Angeles
GEO,America/Guyana
GFK,America/Chicago
GGG,America/Chicago
GGT,America/Nassau
GHB,America/Nassau
GIG,America/Sao_Paulo
GJT,America/Denver
GLA,Europe/London
GMP,Asia/Seoul
GND,America/Grenada
GNV,America/New_York
GOH,America/Godthab
GPT,America/Chicago
GRB,America/Chicago
GRI,America/Chicago
GRK,America/Chicago
GRR,America/New_York
GRU,America/Sao_Paulo
GSO,America/New_York
GSP,America/New_York
GST,America/Anchorage
GTF,America/Denver
GTR,America/Chicago
GUA,America/Guatemala
GUC,America/Denver
GUF,America/Chicago
GUM,Pacific/Guam
GVA,Europe/Paris
GYE,America/Guayaquil
GYR,America/Phoenix
HAK,Asia/Shanghai
HAV,America/Havana
HDN,America/Denver
HGR,America/New_York
HHH,America/New_York
HIB,America/Chicago
HKG,Asia/Hong_Kong
HLN,America/Denver
HMO,America/Hermosillo
HND,Asia/Tokyo
HNL,Pacific/Honolulu
HOB,America/Denver
HOG,America/Havana
HOU,America/Chicago
HPN,America/New_York
HRL,America/Chicago
HSV,America/Chicago
HTS,America/New_York
HUF,America/New_York
HUX,America/Mexico_City
HYA,America/New_York
HYS,America/Chicago
IAD,America/New_York
IAG,America/New_York
IAH,America/Chicago
ICN,Asia/Seoul
ICT,America/Chicago
IDA,America/Denver
ILM,America/New_York
IMT,America/Chicago
IND,America/New_York
INL,America/Chicago
ISM,America/New_York
ISO,America/New_York
ISP,America/New_York
ITH,America/New_York
ITO,Pacific/Honolulu
JAC,America/Denver
JAI,Asia/Calcutta
JAN,America/Chicago
JAX,America/New_York
JFK,America/New_York
JLN,America/Chicago
JMS,America/Chicago
JNB,Africa/Johannesburg
JNU,America/Anchorage
JST,America/New_York
KEF,Atlantic/Reykjavik
KIN,America/Jamaica
KIX,Asia/Tokyo
KOA,Pacific/Honolulu
KSA,Pacific/Kosrae
KTN,America/Anchorage
KWA,Pacific/Majuro
LAF,America/New_York
LAN,America/New_York
LAP,America/Mazatlan
LAR,America/Denver
LAS,America/Los_Angeles
LAW,America/Chicago
LAX,America/Los_Angeles
LBB,America/Chicago
LBE,America/New_York
LBF,America/Chicago
LBL,America/Chicago
LCH,America/Chicago
LCK,America/New_York
LEX,America/New_York
LFT,America/Chicago
LFW,Africa/Lome
LGA,America/New_York
LGB,America/Los_Angeles
LGW,Europe/London
LHR,Europe/London
LIH,Pacific/Honolulu
LIM,America/Lima
LIR,America/Costa_Rica
LIS,Europe/Lisbon
LIT,America/Chicago
LNK,America/Chicago
LOS,Africa/Lagos
LRD,America/Chicago
LRM,America/Santo_Domingo
LRU,America/Denver
LSE,America/Chicago
LTO,America/Mazatlan
LUX,Europe/Luxembourg
LWS,America/Los_Angeles
LYH,America/New_York
MAD,Europe/Madrid
MAF,America/Chicago
MAJ,Pacific/Majuro
MAN,Europe/London
MAO,America/Boa_Vista
MBJ,America/Jamaica
MBS,America/New_York
MCI,America/Chicago
MCN,America/New_York
MCO,America/New_York
MCT,Asia/Muscat
MCW,America/Chicago
MDE,America/Bogota
MDT,America/New_York
MDW,America/Chicago
MDZ,America/Mendoza
MEC,America/Guayaquil
MEI,America/Chicago
MEL,Australia/Hobart
MEM,America/Chicago
MEX,America/Mexico_City
MFE,America/Chicago
MFR,America/Los_Angeles
MGA,America/Managua
MGM,America/Chicago
MGW,America/New_York
MHH,America/Nassau
MHK,America/Chicago
MHT,America/New_York
MIA,America/New_York
MID,America/Mexico_City
MKE,America/Chicago
MLB,America/New_York
MLI,America/Chicago
MLM,America/Mexico_City
MLU,America/Chicago
MNL,Asia/Manila
MOB,America/Chicago
MOT,America/Chicago
MQT,America/New_York
MRY,America/Los_Angeles
MSN,America/Chicago
MSO,America/Denver
MSP,America/Chicago
MSY,America/Chicago
MTJ,America/Denver
MTY,America/Mexico_City
MUC,Europe/Berlin
MVD,America/Montevideo
MVY,America/New_York
MWH,America/Los_Angeles
MXP,Europe/Rome
MYR,America/New_York
MZJ,America/Phoenix
MZT,America/Mazatlan
NAN,Pacific/Fiji
NAP,Europe/Rome
NAS,America/Nassau
NCE,Europe/Paris
NGO,Asia/Tokyo
NKG,Asia/Shanghai
NRT,Asia/Tokyo
OAJ,America/New_York
OAK,America/Los_Angeles
OAX,America/Mexico_City
OCJ,America/Jamaica
OGD,America/Denver
OGG,Pacific/Honolulu
OKC,America/Chicago
OLB,Europe/Rome
OMA,America/Chicago
OME,America/Anchorage
ONT,America/Los_Angeles
OOL,Australia/Brisbane
OPF,America/New_York
OPO,Europe/Lisbon
ORD,America/Chicago
ORF,America/New_York
ORH,America/New_York
OSR,Europe/Prague
OTH,America/Los_Angeles
OTZ,America/Anchorage
