code,summer,winter,tz
ABE,-240,-300,ET
ABI,-300,-360,CT
ABQ,-360,-420,MT
ABR,-300,-360,CT
ABY,-240,-300,ET
ACT,-300,-360,CT
ACV,-420,-480,PT
ACY,-240,-300,ET
ADK,-540,-600,HAT
ADQ,-480,-540,AKT
AEX,-300,-360,CT
AGS,-240,-300,ET
AKN,-480,-540,AKT
ALB,-240,-300,ET
ALO,-300,-360,CT
ALW,-420,-480,PT
AMA,-300,-360,CT
ANC,-480,-540,AKT
APN,-240,-300,ET
ART,-240,-300,ET
ASE,-360,-420,MT
ATL,-240,-300,ET
ATW,-300,-360,CT
AUS,-300,-360,CT
AVL,-240,-300,ET
AVP,-240,-300,ET
AZA,-420,-420,MST
AZO,-240,-300,ET
BDL,-240,-300,ET
BET,-480,-540,AKT
BFF,-360,-420,MT
BFL,-420,-480,PT
BGM,-240,-300,ET
BGR,-240,-300,ET
BHM,-300,-360,CT
BIH,-420,-480,PT
BIL,-360,-420,MT
BIS,-300,-360,CT
BJI,-300,-360,CT
BLI,-420,-480,PT
BLV,-300,-360,CT
BMI,-300,-360,CT
BNA,-300,-360,CT
BOI,-360,-420,MT
BOS,-240,-300,ET
BPT,-300,-360,CT
BQK,-240,-300,ET
BQN,-240,-240,AST
BRD,-300,-360,CT
BRO,-300,-360,CT
BRW,-480,-540,AKT
BTM,-360,-420,MT
BTR,-300,-360,CT
BTV,-240,-300,ET
BUF,-240,-300,ET
BUR,-420,-480,PT
BWI,-240,-300,ET
BZN,-360,-420,MT
CAE,-240,-300,ET
CAK,-240,-300,ET
CDC,-360,-420,MT
CDV,-480,-540,AKT
CHA,-240,-300,ET
CHO,-240,-300,ET
CHS,-240,-300,ET
CID,-300,-360,CT
CIU,-240,-300,ET
CKB,-240,-300,ET
CLD,-420,-480,PT
CLE,-240,-300,ET
CLL,-300,-360,CT
CLT,-240,-300,ET
CMH,-240,-300,ET
CMI,-300,-360,CT
CMX,-240,-300,ET
COD,-360,-420,MT
COS,-360,-420,MT
COU,-300,-360,CT
CPR,-360,-420,MT
CRP,-300,-360,CT
CRW,-240,-300,ET
CSG,-240,-300,ET
CVG,-240,-300,ET
CWA,-300,-360,CT
CYS,-360,-420,MT
DAB,-240,-300,ET
DAL,-300,-360,CT
DAY,-240,-300,ET
DCA,-240,-300,ET
DDC,-300,-360,CT
DEC,-300,-360,CT
DEN,-360,-420,MT
DFW,-300,-360,CT
DHN,-300,-360,CT
DIK,-360,-420,MT
DLG,-480,-540,AKT
DLH,-300,-360,CT
DRO,-360,-420,MT
DSM,-300,-360,CT
DTW,-240,-300,ET
DVL,-300,-360,CT
EAR,-300,-360,CT
EAT,-420,-480,PT
EAU,-300,-360,CT
ECP,-300,-360,CT
EGE,-360,-420,MT
EKO,-420,-480,PT
ELM,-240,-300,ET
ELP,-360,-420,MT
ERI,-240,-300,ET
ESC,-240,-300,ET
EUG,-420,-480,PT
EVV,-300,-360,CT
EWN,-240,-300,ET
EWR,-240,-300,ET
EYW,-240,-300,ET
FAI,-480,-540,AKT
FAR,-300,-360,CT
FAT,-420,-480,PT
FAY,-240,-300,ET
FCA,-360,-420,MT
FLG,-420,-420,MST
FLL,-240,-300,ET
FLO,-240,-300,ET
FMN,-360,-420,MT
FNT,-240,-300,ET
FOD,-300,-360,CT
FSD,-300,-360,CT
FSM,-300,-360,CT
FWA,-240,-300,ET
GCC,-360,-420,MT
GCK,-300,-360,CT
GEG,-420,-480,PT
GFK,-300,-360,CT
GGG,-300,-360,CT
GJT,-360,-420,MT
GNV,-240,-300,ET
GPT,-300,-360,CT
GRB,-300,-360,CT
GRI,-300,-360,CT
GRK,-300,-360,CT
GRR,-240,-300,ET
GSO,-240,-300,ET
GSP,-240,-300,ET
GTF,-360,-420,MT
GTR,-300,-360,CT
GUC,-360,-420,MT
GUF,-300,-360,CT
GUM,600,600,ChST
HDN,-360,-420,MT
HGR,-240,-300,ET
HHH,-240,-300,ET
HIB,-300,-360,CT
HLN,-360,-420,MT
HNL,-600,-600,HST
HOB,-360,-420,MT
HOU,-300,-360,CT
HPN,-240,-300,ET
HRL,-300,-360,CT
HSV,-300,-360,CT
HTS,-240,-300,ET
HYS,-300,-360,CT
IAD,-240,-300,ET
IAG,-240,-300,ET
IAH,-300,-360,CT
ICT,-300,-360,CT
IDA,-360,-420,MT
ILM,-240,-300,ET
IMT,-300,-360,CT
IND,-240,-300,ET
INL,-300,-360,CT
ISP,-240,-300,ET
ITH,-240,-300,ET
ITO,-600,-600,HST
JAC,-360,-420,MT
JAN,-300,-360,CT
JAX,-240,-300,ET
JFK,-240,-300,ET
JLN,-300,-360,CT
JMS,-300,-360,CT
JNU,-480,-540,AKT
JST,-240,-300,ET
KOA,-600,-600,HST
KTN,-480,-540,AKT
LAN,-240,-300,ET
LAR,-360,-420,MT
LAS,-420,-480,PT
LAW,-300,-360,CT
LAX,-420,-480,PT
LBB,-300,-360,CT
LBE,-240,-300,ET
LBF,-300,-360,CT
LBL,-300,-360,CT
LCH,-300,-360,CT
LCK,-240,-300,ET
LEX,-240,-300,ET
LFT,-300,-360,CT
LGA,-240,-300,ET
LGB,-420,-480,PT
LIH,-600,-600,HST
LIT,-300,-360,CT
LNK,-300,-360,CT
LRD,-300,-360,CT
LSE,-300,-360,CT
LWS,-420,-480,PT
LYH,-240,-300,ET
MAF,-300,-360,CT
MBS,-240,-300,ET
MCI,-300,-360,CT
MCO,-240,-300,ET
MCW,-300,-360,CT
MDT,-240,-300,ET
MDW,-300,-360,CT
MEI,-300,-360,CT
MEM,-300,-360,CT
MFE,-300,-360,CT
MFR,-420,-480,PT
MGM,-300,-360,CT
MGW,-240,-300,ET
MHK,-300,-360,CT
MHT,-240,-300,ET
MIA,-240,-300,ET
MKE,-300,-360,CT
MLB,-240,-300,ET
MLI,-300,-360,CT
MLU,-300,-360,CT
MOB,-300,-360,CT
MOT,-300,-360,CT
MQT,-240,-300,ET
MRY,-420,-480,PT
MSN,-300,-360,CT
MSO,-360,-420,MT
MSP,-300,-360,CT
MSY,-300,-360,CT
MTJ,-360,-420,MT
MYR,-240,-300,ET
OAJ,-240,-300,ET
OAK,-420,-480,PT
OGG,-600,-600,HST
OKC,-300,-360,CT
OMA,-300,-360,CT
OME,-480,-540,AKT
ONT,-420,-480,PT
ORD,-300,-360,CT
ORF,-240,-300,ET
ORH,-240,-300,ET
OTH,-420,-480,PT
OTZ,-480,-540,AKT
PAE,-420,-480,PT
PBG,-240,-300,ET
PBI,-240,-300,ET
PDX,-420,-480,PT
PGD,-240,-300,ET
PGV,-240,-300,ET
PHF,-240,-300,ET
PHL,-240,-300,ET
PHX,-420,-420,MST
PIA,-300,-360,CT
PIB,-300,-360,CT
PIE,-240,-300,ET
PIH,-360,-420,MT
PIT,-240,-300,ET
PLN,-240,-300,ET
PNS,-300,-360,CT
PPG,-660,-660,SST
PQI,-240,-300,ET
PRC,-420,-420,MST
PSC,-420,-480,PT
PSE,-240,-240,AST
PSG,-480,-540,AKT
PSM,-240,-300,ET
PSP,-420,-480,PT
PUW,-420,-480,PT
PVD,-240,-300,ET
PVU,-360,-420,MT
PWM,-240,-300,ET
RAP,-360,-420,MT
RDD,-420,-480,PT
RDM,-420,-480,PT
RDU,-240,-300,ET
RFD,-300,-360,CT
RHI,-300,-360,CT
RIC,-240,-300,ET
RIW,-360,-420,MT
RKS,-360,-420,MT
RNO,-420,-480,PT
ROA,-240,-300,ET
ROC,-240,-300,ET
ROW,-360,-420,MT
RST,-300,-360,CT
RSW,-240,-300,ET
SAF,-360,-420,MT
SAN,-420,-480,PT
SAT,-300,-360,CT
SAV,-240,-300,ET
SBA,-420,-480,PT
SBN,-240,-300,ET
SBP,-420,-480,PT
SBY,-240,-300,ET
SCC,-480,-540,AKT
SCE,-240,-300,ET
SCK,-420,-480,PT
SDF,-240,-300,ET
SEA,-420,-480,PT
SFB,-240,-300,ET
SFO,-420,-480,PT
SGF,-300,-360,CT
SGU,-360,-420,MT
SHR,-360,-420,MT
SHV,-300,-360,CT
SIT,-480,-540,AKT
SJC,-420,-480,PT
SJT,-300,-360,CT
