o,d,mask,times,asof
ATL,AMS,127,1540 1705 1950,2026-07-09
ATL,ANU,32,940,2026-07-09
ATL,ATH,127,1615 1715,2026-07-09
ATL,AUA,127,1000,2026-07-09
ATL,BCN,127,2200,2026-07-09
ATL,BDA,37,1030,2026-07-09
ATL,BGI,127,940,2026-07-09
ATL,BOG,127,955 1530,2026-07-09
ATL,BON,32,945,2026-07-09
ATL,BRU,127,1705,2026-07-09
ATL,BZE,127,1000,2026-07-09
ATL,CDG,127,1545 1800 2150,2026-07-09
ATL,CPT,41,2100,2026-07-09
ATL,CTG,42,1005,2026-07-09
ATL,CUN,127,825 945 1130 1300 1850,2026-07-09
ATL,CUR,112,955,2026-07-09
ATL,DUB,127,2000,2026-07-09
ATL,EDI,127,2255,2026-07-09
ATL,ELH,127,1100,2026-07-09
ATL,EZE,127,2255,2026-07-09
ATL,FCO,127,1605 1915,2026-07-09
ATL,FRA,127,1800,2026-07-09
ATL,GCM,127,950,2026-07-09
ATL,GDL,127,955,2026-07-09
ATL,GGT,121,1100,2026-07-09
ATL,GIG,85,2340,2026-07-09
ATL,GND,32,945,2026-07-09
ATL,GRU,127,1855,2026-07-09
ATL,GUA,127,1000,2026-07-09
ATL,HND,127,1115,2026-07-09
ATL,ICN,127,945 2350,2026-07-09
ATL,JNB,127,2205,2026-07-09
ATL,KIN,127,1800,2026-07-09
ATL,LHR,127,1705 2205 2355,2026-07-09
ATL,LIM,127,1605,2026-07-09
ATL,LIR,127,1005,2026-07-09
ATL,LOS,127,1650,2026-07-09
ATL,MAD,127,2145,2026-07-09
ATL,MBJ,127,1000 1345,2026-07-09
ATL,MEX,127,825 1025 1225 1725 2015,2026-07-09
ATL,MHH,53,1105,2026-07-09
ATL,MTY,127,1005,2026-07-09
ATL,MUC,127,1720,2026-07-09
ATL,MXP,127,1820,2026-07-09
ATL,NAP,106,1520,2026-07-09
ATL,NAS,127,940 1155 1435,2026-07-09
ATL,NCE,127,2100,2026-07-09
ATL,PLS,127,945 1140,2026-07-09
ATL,PTY,127,955,2026-07-09
ATL,PUJ,127,810 955 1100,2026-07-09
ATL,PVR,127,1045,2026-07-09
ATL,RTB,32,1115,2026-07-09
ATL,SAL,127,1050,2026-07-09
ATL,SAP,127,1000,2026-07-09
ATL,SCL,127,2205,2026-07-09
ATL,SDQ,127,945,2026-07-09
ATL,SJD,127,1005,2026-07-09
ATL,SJO,127,950,2026-07-09
ATL,SKB,32,950,2026-07-09
ATL,SVD,32,940,2026-07-09
ATL,SXM,127,950,2026-07-09
ATL,TQO,48,1120,2026-07-09
ATL,UIO,127,1445,2026-07-09
ATL,UVF,127,940,2026-07-09
ATL,VCE,127,1740,2026-07-09
ATL,YUL,127,900 1500 2115,2026-07-09
ATL,YVR,32,1000,2026-07-09
ATL,YYZ,127,805 1000 1500 1935 2135,2026-07-09
ATL,ZRH,127,1710,2026-07-09
BOS,AMS,127,1640 1900,2026-07-09
BOS,ATH,127,1530,2026-07-09
BOS,AUA,32,605,2026-07-09
BOS,BCN,127,1920,2026-07-09
BOS,CDG,127,1910,2026-07-09
BOS,CUN,127,910,2026-07-09
BOS,DUB,127,2345,2026-07-09
BOS,EDI,127,1940,2026-07-09
BOS,FCO,127,1650,2026-07-09
BOS,LHR,127,1905,2026-07-09
BOS,LIS,127,2325,2026-07-09
BOS,MAD,127,1720,2026-07-09
BOS,MXP,85,1955,2026-07-09
BOS,NAS,32,930,2026-07-09
BOS,NCE,42,2005,2026-07-09
BOS,YHZ,32,1045,2026-07-09
CVG,CDG,0,1705,2026-07-09
DTW,AMS,127,1625 1830 2235,2026-07-09
DTW,CDG,127,1710 1845,2026-07-09
DTW,CUN,127,850 1015,2026-07-09
DTW,DUB,127,2200,2026-07-09
DTW,FCO,127,2010,2026-07-09
DTW,FRA,127,1950,2026-07-09
DTW,HND,127,1405,2026-07-09
DTW,ICN,127,1245,2026-07-09
DTW,KEF,127,2200,2026-07-09
DTW,LHR,127,1845,2026-07-09
DTW,MEX,127,910,2026-07-09
DTW,MUC,127,1640,2026-07-09
DTW,PUJ,32,830,2026-07-09
DTW,PVG,127,1220,2026-07-09
DTW,YUL,127,1000 1425 2130,2026-07-09
DTW,YYZ,127,735 1000 1215 1355 1555 2140,2026-07-09
HNL,HND,0,1640,2026-07-09
JFK,ACC,127,1635,2026-07-09
JFK,AMS,127,1815 2235,2026-07-09
JFK,ARN,127,1810,2026-07-09
JFK,ATH,127,1510 2035,2026-07-09
JFK,AUA,127,740,2026-07-09
JFK,BCN,127,1855,2026-07-09
JFK,BDA,89,825,2026-07-09
JFK,BER,127,1755,2026-07-09
JFK,CDG,127,1915 2010 2230,2026-07-09
JFK,CPH,127,1650,2026-07-09
JFK,CTA,127,1645,2026-07-09
JFK,CUN,127,825,2026-07-09
JFK,DSS,42,1845,2026-07-09
JFK,DUB,119,2130,2026-07-09
JFK,EDI,127,2120,2026-07-09
JFK,FCO,127,1725 1925,2026-07-09
JFK,FRA,127,1835,2026-07-09
JFK,GRU,127,2145,2026-07-09
JFK,KEF,127,2355,2026-07-09
JFK,LHR,127,2015 2200,2026-07-09
JFK,LIS,127,1955,2026-07-09
JFK,MAD,127,2020,2026-07-09
JFK,MBJ,127,820,2026-07-09
JFK,MXP,127,1635 2155,2026-07-09
JFK,NAP,127,1725,2026-07-09
JFK,NAS,127,820,2026-07-09
JFK,NCE,127,1810,2026-07-09
JFK,PLS,32,940,2026-07-09
JFK,PRG,127,1845,2026-07-09
JFK,PUJ,127,820,2026-07-09
JFK,SDQ,127,830 1400 2030,2026-07-09
JFK,SNN,127,2355,2026-07-09
JFK,STI,127,825 1530 2140,2026-07-09
JFK,SXM,32,950,2026-07-09
JFK,VCE,127,2100,2026-07-09
JFK,YYZ,127,930 1530 2105,2026-07-09
JFK,ZRH,127,2045,2026-07-09
LAX,CDG,127,1805,2026-07-09
LAX,CUN,127,1005,2026-07-09
LAX,HND,127,1040,2026-07-09
LAX,MEL,21,2300,2026-07-09
LAX,PVG,84,1145,2026-07-09
LAX,PVR,127,1125,2026-07-09
LAX,SJD,127,1050,2026-07-09
LAX,SYD,127,2255,2026-07-09
LGA,NAS,32,1110,2026-07-09
LGA,YHZ,127,930 2005,2026-07-09
LGA,YUL,127,700 1205 1700,2026-07-09
LGA,YYZ,127,725 1420 1605 1915 2150,2026-07-09
MIA,HAV,127,1350,2026-07-09
MSP,AMS,127,1600 1955 2150,2026-07-09
MSP,CDG,127,1630,2026-07-09
MSP,CPH,84,2035,2026-07-09
MSP,CUN,127,855,2026-07-09
MSP,DUB,127,1835,2026-07-09
MSP,FCO,43,2020,2026-07-09
MSP,HND,127,1040,2026-07-09
MSP,ICN,127,1335,2026-07-09
MSP,KEF,127,2000,2026-07-09
MSP,LHR,127,2310,2026-07-09
MSP,LIR,127,815,2026-07-09
MSP,MEX,127,920,2026-07-09
MSP,YUL,127,2005,2026-07-09
MSP,YVR,127,905 1145 1840,2026-07-09
MSP,YWG,127,1020 1330 1515 2155,2026-07-09
MSP,YYC,127,1120 1840,2026-07-09
MSP,YYZ,127,825 1520 2000,2026-07-09
SEA,AMS,127,1345 1740,2026-07-09
SEA,BCN,42,1535,2026-07-09
SEA,CDG,127,1835,2026-07-09
SEA,FCO,85,1400,2026-07-09
SEA,HND,127,1155,2026-07-09
SEA,ICN,127,1305,2026-07-09
SEA,LHR,127,2150,2026-07-09
SEA,PVG,127,1620,2026-07-09
SEA,TPE,127,1630,2026-07-09
SEA,YVR,127,920 1330 1545 1740 2000 2145,2026-07-09
SLC,AMS,127,1630,2026-07-09
SLC,CDG,127,1535,2026-07-09
SLC,CUN,127,945,2026-07-09
SLC,ICN,127,1155,2026-07-09
SLC,LHR,55,1725,2026-07-09
SLC,MEX,127,950,2026-07-09
SLC,PVR,127,1050,2026-07-09
SLC,SJD,127,1020,2026-07-09
SLC,YVR,127,1100 1615 2100,2026-07-09
SLC,YYC,127,925 2050,2026-07-09
SLC,YYZ,127,1045,2026-07-09
TPA,AMS,0,2105,2026-07-09
