o,d,tot,dl,share
ABE,ORD,52,0.0,0.0
ABQ,DEN,210,0.0,0.0
ABQ,IAH,8,0.0,0.0
ABQ,LAX,403,244.0,0.6054590570719603
ABQ,ORD,64,0.0,0.0
ABQ,PHX,133,0.0,0.0
ABQ,SFO,162,0.0,0.0
ABQ,SLC,293,293.0,1.0
ABR,MSP,184,184.0,1.0
ABY,ATL,161,161.0,1.0
ACK,ORD,8,0.0,0.0
ACT,DFW,186,0.0,0.0
ACV,DEN,93,0.0,0.0
ACV,LAX,93,0.0,0.0
ACV,SFO,301,0.0,0.0
AEX,DFW,158,0.0,0.0
AGS,ATL,49,49.0,1.0
ALB,DTW,220,220.0,1.0
ALB,ORD,41,0.0,0.0
AMA,DEN,181,0.0,0.0
AMA,DFW,15,0.0,0.0
AMA,IAH,27,0.0,0.0
APN,DTW,159,159.0,1.0
ASE,ATL,155,155.0,1.0
ASE,AUS,93,0.0,0.0
ASE,CLT,14,0.0,0.0
ASE,DEN,780,0.0,0.0
ASE,DFW,442,0.0,0.0
ASE,IAH,250,0.0,0.0
ASE,LAX,461,93.0,0.2017353579175705
ASE,ORD,351,0.0,0.0
ASE,PHX,62,0.0,0.0
ASE,SFO,163,0.0,0.0
ATL,ABY,162,162.0,1.0
ATL,AGS,49,49.0,1.0
ATL,ASE,155,155.0,1.0
ATL,ATW,31,31.0,1.0
ATL,AVL,4,4.0,1.0
ATL,BMI,57,57.0,1.0
ATL,BQK,4,4.0,1.0
ATL,BTR,1,1.0,1.0
ATL,CHA,52,52.0,1.0
ATL,CHS,1,1.0,1.0
ATL,CRW,157,157.0,1.0
ATL,DHN,47,47.0,1.0
ATL,EVV,91,91.0,1.0
ATL,FAR,27,27.0,1.0
ATL,FAY,44,44.0,1.0
ATL,FWA,261,261.0,1.0
ATL,GNV,4,4.0,1.0
ATL,HPN,22,22.0,1.0
ATL,IAH,5,0.0,0.0
ATL,ILM,10,10.0,1.0
ATL,LEX,11,11.0,1.0
ATL,LFT,103,103.0,1.0
ATL,MEM,4,4.0,1.0
ATL,MGM,139,139.0,1.0
ATL,MOB,48,48.0,1.0
ATL,OAJ,1,1.0,1.0
ATL,ORD,1,0.0,0.0
ATL,SBN,262,262.0,1.0
ATL,SGF,65,65.0,1.0
ATL,SHV,249,249.0,1.0
ATL,TRI,28,28.0,1.0
ATL,XNA,119,119.0,1.0
ATW,ATL,31,31.0,1.0
ATW,DEN,110,0.0,0.0
ATW,DTW,249,249.0,1.0
ATW,MSP,227,227.0,1.0
ATW,ORD,422,0.0,0.0
ATY,DEN,30,0.0,0.0
ATY,MSP,31,31.0,1.0
AUS,ASE,93,0.0,0.0
AUS,BNA,257,257.0,1.0
AUS,CVG,31,31.0,1.0
AUS,DEN,67,62.0,0.9253731343283582
AUS,DFW,98,0.0,0.0
AUS,ECP,39,39.0,1.0
AUS,HRL,31,31.0,1.0
AUS,IAH,39,0.0,0.0
AUS,IND,62,62.0,1.0
AUS,JAX,62,62.0,1.0
AUS,LAX,186,0.0,0.0
AUS,MAF,147,147.0,1.0
AUS,MEM,62,62.0,1.0
AUS,MFE,257,257.0,1.0
AUS,MSP,44,44.0,1.0
