op,o,d,mkt,share
9E,ABE,ATL,DL,1.0
9E,ABY,ATL,DL,1.0
9E,AEX,ATL,DL,1.0
9E,AGS,ATL,DL,1.0
9E,ALB,DTW,DL,1.0
9E,ALB,LGA,DL,1.0
9E,ATL,ABE,DL,1.0
9E,ATL,ABY,DL,1.0
9E,ATL,AEX,DL,1.0
9E,ATL,AGS,DL,1.0
9E,ATL,AVL,DL,1.0
9E,ATL,BMI,DL,1.0
9E,ATL,BQK,DL,1.0
9E,ATL,BTR,DL,1.0
9E,ATL,CAE,DL,1.0
9E,ATL,CHA,DL,1.0
9E,ATL,CHO,DL,1.0
9E,ATL,CHS,DL,1.0
9E,ATL,CLE,DL,1.0
9E,ATL,CLT,DL,1.0
9E,ATL,CRW,DL,1.0
9E,ATL,CSG,DL,1.0
9E,ATL,DAY,DL,1.0
9E,ATL,DHN,DL,1.0
9E,ATL,DSM,DL,1.0
9E,ATL,ECP,DL,1.0
9E,ATL,EVV,DL,1.0
9E,ATL,EYW,DL,1.0
9E,ATL,FAR,DL,1.0
9E,ATL,FAY,DL,1.0
9E,ATL,GNV,DL,1.0
9E,ATL,GPT,DL,1.0
9E,ATL,GSO,DL,1.0
9E,ATL,GSP,DL,1.0
9E,ATL,GTR,DL,1.0
9E,ATL,HPN,DL,1.0
9E,ATL,HSV,DL,1.0
9E,ATL,ICT,DL,1.0
9E,ATL,ILM,DL,1.0
9E,ATL,JAN,DL,1.0
9E,ATL,LEX,DL,1.0
9E,ATL,LFT,DL,1.0
9E,ATL,LIT,DL,1.0
9E,ATL,MDT,DL,1.0
9E,ATL,MEM,DL,1.0
9E,ATL,MGM,DL,1.0
9E,ATL,MLI,DL,1.0
9E,ATL,MLU,DL,1.0
9E,ATL,MOB,DL,1.0
9E,ATL,MSN,DL,1.0
9E,ATL,OAJ,DL,1.0
9E,ATL,PNS,DL,1.0
9E,ATL,ROA,DL,1.0
9E,ATL,SDF,DL,1.0
9E,ATL,SGF,DL,1.0
9E,ATL,SHV,DL,1.0
9E,ATL,TLH,DL,1.0
9E,ATL,TRI,DL,1.0
9E,ATL,TUL,DL,1.0
9E,ATL,TYS,DL,1.0
9E,ATL,VLD,DL,1.0
9E,ATL,VPS,DL,1.0
9E,ATL,XNA,DL,1.0
9E,ATW,DTW,DL,1.0
9E,ATW,MSP,DL,1.0
9E,AUS,CVG,DL,1.0
9E,AUS,RDU,DL,1.0
9E,AVL,ATL,DL,1.0
9E,AVL,LGA,DL,1.0
9E,AVL,MSP,DL,1.0
9E,AZO,DTW,DL,1.0
9E,BGM,DTW,DL,1.0
9E,BGR,DTW,DL,1.0
9E,BGR,JFK,DL,1.0
9E,BGR,LGA,DL,1.0
9E,BHM,DTW,DL,1.0
9E,BHM,LGA,DL,1.0
9E,BIS,MSP,DL,1.0
9E,BMI,ATL,DL,1.0
9E,BNA,DTW,DL,1.0
9E,BNA,JFK,DL,1.0
9E,BNA,LGA,DL,1.0
9E,BNA,MSP,DL,1.0
9E,BNA,RDU,DL,1.0
9E,BQK,ATL,DL,1.0
9E,BTR,ATL,DL,1.0
9E,BTV,DTW,DL,1.0
9E,BTV,JFK,DL,1.0
9E,BTV,LGA,DL,1.0
9E,BTV,MSP,DL,1.0
9E,BUF,DTW,DL,1.0
9E,BUF,JFK,DL,1.0
9E,BUF,LGA,DL,1.0
9E,CAE,ATL,DL,1.0
9E,CAE,LGA,DL,1.0
9E,CHA,ATL,DL,1.0
9E,CHA,DTW,DL,1.0
9E,CHA,LGA,DL,1.0
9E,CHO,ATL,DL,1.0
9E,CHO,LGA,DL,1.0
9E,CHS,ATL,DL,1.0
9E,CHS,DTW,DL,1.0
9E,CHS,JFK,DL,1.0
9E,CHS,LGA,DL,1.0
9E,CHS,MSP,DL,1.0
9E,CID,MSP,DL,1.0
9E,CLE,ATL,DL,1.0
9E,CLE,DTW,DL,1.0
9E,CLE,JFK,DL,1.0
9E,CLE,LGA,DL,1.0
9E,CLE,MSP,DL,1.0
9E,CLT,ATL,DL,1.0
9E,CLT,DTW,DL,1.0
9E,CLT,JFK,DL,1.0
9E,CLT,LGA,DL,1.0
9E,CLT,MSP,DL,1.0
9E,CMH,DTW,DL,1.0
9E,CMH,JFK,DL,1.0
9E,CMH,LGA,DL,1.0
9E,CMH,MSP,DL,1.0
9E,CRW,ATL,DL,1.0
9E,CSG,ATL,DL,1.0
9E,CVG,AUS,DL,1.0
9E,CVG,DCA,DL,1.0
9E,CVG,DTW,DL,1.0
9E,CVG,EWR,DL,1.0
9E,CVG,JFK,DL,1.0
9E,CVG,LGA,DL,1.0
9E,CVG,MCO,DL,1.0
9E,CVG,MSP,DL,1.0
9E,CVG,RDU,DL,1.0
9E,CVG,RSW,DL,1.0
9E,CVG,TPA,DL,1.0
9E,CWA,MSP,DL,1.0
9E,DAY,ATL,DL,1.0
9E,DAY,LGA,DL,1.0
9E,DCA,CVG,DL,1.0
9E,DCA,JFK,DL,1.0
9E,DCA,MSP,DL,1.0
9E,DCA,RDU,DL,1.0
9E,DHN,ATL,DL,1.0
9E,DLH,MSP,DL,1.0
9E,DSM,ATL,DL,1.0
9E,DSM,DTW,DL,1.0
9E,DSM,LGA,DL,1.0
9E,DSM,MSP,DL,1.0
9E,DTW,ALB,DL,1.0
9E,DTW,ATW,DL,1.0
9E,DTW,AZO,DL,1.0
9E,DTW,BGM,DL,1.0
9E,DTW,BGR,DL,1.0
9E,DTW,BHM,DL,1.0
9E,DTW,BNA,DL,1.0
9E,DTW,BTV,DL,1.0
9E,DTW,BUF,DL,1.0
9E,DTW,CHA,DL,1.0
9E,DTW,CHS,DL,1.0
9E,DTW,CLE,DL,1.0
9E,DTW,CLT,DL,1.0
9E,DTW,CMH,DL,1.0
9E,DTW,CVG,DL,1.0
9E,DTW,DSM,DL,1.0
9E,DTW,EWR,DL,1.0
9E,DTW,GRB,DL,1.0
9E,DTW,GRR,DL,1.0
9E,DTW,GSO,DL,1.0
9E,DTW,GSP,DL,1.0
9E,DTW,HPN,DL,1.0
9E,DTW,HSV,DL,1.0
9E,DTW,IAD,DL,1.0
9E,DTW,IND,DL,1.0
9E,DTW,JFK,DL,1.0
9E,DTW,LAN,DL,1.0
9E,DTW,LEX,DL,1.0
9E,DTW,LGA,DL,1.0
9E,DTW,MCI,DL,1.0
9E,DTW,MDT,DL,1.0
9E,DTW,MDW,DL,1.0
9E,DTW,MEM,DL,1.0
9E,DTW,MKE,DL,1.0
9E,DTW,MSN,DL,1.0
9E,DTW,MSP,DL,1.0
9E,DTW,OMA,DL,1.0
9E,DTW,ORD,DL,1.0
9E,DTW,ORF,DL,1.0
9E,DTW,PIT,DL,1.0
9E,DTW,PNS,DL,1.0
9E,DTW,PVD,DL,1.0
9E,DTW,PWM,DL,1.0
9E,DTW,RDU,DL,1.0
9E,DTW,RIC,DL,1.0
9E,DTW,ROC,DL,1.0
9E,DTW,SAV,DL,1.0
9E,DTW,SDF,DL,1.0
9E,DTW,STL,DL,1.0
9E,DTW,SYR,DL,1.0
9E,DTW,TVC,DL,1.0
9E,DTW,TYS,DL,1.0
9E,DTW,XNA,DL,1.0
9E,ECP,ATL,DL,1.0
9E,ECP,LGA,DL,1.0
9E,EVV,ATL,DL,1.0
9E,EWR,CVG,DL,1.0
9E,EWR,DTW,DL,1.0
9E,EWR,RDU,DL,1.0
9E,EYW,ATL,DL,1.0
9E,FAR,ATL,DL,1.0
9E,FAR,MSP,DL,1.0
9E,FAY,ATL,DL,1.0
9E,FLL,RDU,DL,1.0
9E,FSD,MSP,DL,1.0
9E,GFK,MSP,DL,1.0
9E,GNV,ATL,DL,1.0
9E,GPT,ATL,DL,1.0
9E,GRB,DTW,DL,1.0
9E,GRB,MSP,DL,1.0
9E,GRR,DTW,DL,1.0
9E,GRR,LGA,DL,1.0
9E,GRR,MSP,DL,1.0
9E,GSO,ATL,DL,1.0
9E,GSO,DTW,DL,1.0
9E,GSO,LGA,DL,1.0
9E,GSP,ATL,DL,1.0
9E,GSP,DTW,DL,1.0
9E,GSP,LGA,DL,1.0
9E,GTR,ATL,DL,1.0
9E,HPN,ATL,DL,1.0
9E,HPN,DTW,DL,1.0
9E,HPN,MSP,DL,1.0
9E,HSV,ATL,DL,1.0
9E,HSV,DTW,DL,1.0
9E,HSV,LGA,DL,1.0
9E,IAD,DTW,DL,1.0
9E,IAD,JFK,DL,1.0
9E,ICT,ATL,DL,1.0
9E,ICT,MSP,DL,1.0
9E,ILM,ATL,DL,1.0
9E,ILM,LGA,DL,1.0
9E,IND,DTW,DL,1.0
9E,IND,JFK,DL,1.0
9E,IND,LGA,DL,1.0
9E,IND,MCO,DL,1.0
9E,IND,MSP,DL,1.0
9E,IND,RDU,DL,1.0
9E,ITH,JFK,DL,1.0
9E,JAN,ATL,DL,1.0
9E,JAX,JFK,DL,1.0
9E,JAX,LGA,DL,1.0
9E,JFK,BGR,DL,1.0
9E,JFK,BNA,DL,1.0
9E,JFK,BTV,DL,1.0
9E,JFK,BUF,DL,1.0
9E,JFK,CHS,DL,1.0
9E,JFK,CLE,DL,1.0
9E,JFK,CLT,DL,1.0
9E,JFK,CMH,DL,1.0
9E,JFK,CVG,DL,1.0
9E,JFK,DCA,DL,1.0
9E,JFK,DTW,DL,1.0
9E,JFK,IAD,DL,1.0
9E,JFK,IND,DL,1.0
9E,JFK,ITH,DL,1.0
9E,JFK,JAX,DL,1.0
9E,JFK,MCI,DL,1.0
9E,JFK,MEM,DL,1.0
9E,JFK,MKE,DL,1.0
9E,JFK,MSP,DL,1.0
9E,JFK,ORD,DL,1.0
9E,JFK,ORF,DL,1.0
9E,JFK,PIT,DL,1.0
9E,JFK,PWM,DL,1.0
9E,JFK,RDU,DL,1.0
9E,JFK,RIC,DL,1.0
9E,JFK,ROC,DL,1.0
9E,JFK,SAV,DL,1.0
9E,JFK,STL,DL,1.0
9E,JFK,SYR,DL,1.0
9E,LAN,DTW,DL,1.0
9E,LEX,ATL,DL,1.0
9E,LEX,DTW,DL,1.0
9E,LEX,LGA,DL,1.0
9E,LFT,ATL,DL,1.0
9E,LGA,ALB,DL,1.0
9E,LGA,AVL,DL,1.0
9E,LGA,BGR,DL,1.0
9E,LGA,BHM,DL,1.0
9E,LGA,BNA,DL,1.0
9E,LGA,BTV,DL,1.0
9E,LGA,BUF,DL,1.0
9E,LGA,CAE,DL,1.0
9E,LGA,CHA,DL,1.0
9E,LGA,CHO,DL,1.0
9E,LGA,CHS,DL,1.0
9E,LGA,CLE,DL,1.0
9E,LGA,CLT,DL,1.0
9E,LGA,CMH,DL,1.0
9E,LGA,CVG,DL,1.0
