mkt,o,d,ym,mask,times,arrs
AA,ABE,CLT,2023-06,127,615 1200 1745,805 1345 1935
AA,ABI,DFW,2023-06,127,630 1035 1455 1825,730 1135 1555 1925
AA,ABQ,AUS,2023-06,127,1040 1815,1335 2110
AA,ABQ,DFW,2023-06,127,625 830 1045 1200 1355 1705,915 1120 1335 1450 1645 1955
AA,ABQ,LAX,2023-06,127,725 1205,830 1310
AA,ABQ,ORD,2023-06,127,1345,1740
AA,ABQ,PHX,2023-06,127,705 1125 1910,730 1145 1930
AA,ACK,CLT,2023-06,0,1505,1725
AA,ACK,DCA,2023-06,0,1215 1730,1400 1915
AA,ACK,ORD,2023-06,0,1255,1450
AA,ACK,PHL,2023-06,0,1550,1720
AA,ACT,DFW,2023-06,127,515 1030 1845,615 1130 1945
AA,AEX,DFW,2023-06,127,610 1045 1805,735 1210 1935
AA,AGS,CLT,2023-06,127,510 700 1125 1440 1840 2040,615 810 1230 1545 1940 2145
AA,AGS,DCA,2023-06,127,1930,2110
AA,AGS,DFW,2023-06,127,740,930
AA,ALB,CLT,2023-06,127,625 1135 1710,830 1345 1920
AA,ALB,DCA,2023-06,127,520 1230 1725 1950,650 1400 1900 2120
AA,ALB,ORD,2023-06,127,735 1605,910 1740
AA,ALB,PHL,2023-06,127,625 1335 1640,740 1450 1755
AA,AMA,DFW,2023-06,127,500 615 1020 1230 1630 1835 2025,620 730 1140 1350 1750 1955 2145
AA,ANC,DFW,2023-06,127,615 2050,1550 625
AA,ANC,ORD,2023-06,127,2205,720
AA,ART,PHL,2023-06,127,615 1535,730 1650
AA,ASE,AUS,2023-06,127,1235,1555
AA,ASE,DFW,2023-06,127,1030 1150 1605,1345 1510 1920
AA,ASE,LAX,2023-06,127,1635,1750
AA,ASE,ORD,2023-06,127,1215,1605
AA,ATL,CLT,2023-06,127,510 635 845 1210 1605 1815 2030,630 755 1005 1340 1730 1940 2150
AA,ATL,DCA,2023-06,127,720 900 1100 1710 2040,915 1100 1300 1905 2240
AA,ATL,DFW,2023-06,127,605 740 1130 1235 1430 1645 1825 2015,730 910 1255 1400 1550 1810 1950 2145
AA,ATL,LAX,2023-06,95,1625,1810
AA,ATL,MIA,2023-06,127,545 900 1135 1705 1805,745 1100 1335 1905 2005
AA,ATL,ORD,2023-06,127,610 1125 1825,720 1235 1945
AA,ATL,PHL,2023-06,127,1000 1200 1655,1215 1405 1905
AA,ATL,PHX,2023-06,95,1815,1920
AA,ATW,ORD,2023-06,127,1120,1230
AA,AUS,ABQ,2023-06,127,910 1650,1000 1745
AA,AUS,ASE,2023-06,127,935,1120
AA,AUS,BNA,2023-06,127,930 1200 2005,1135 1405 2215
AA,AUS,BOS,2023-06,127,945 1620,1450 2125
AA,AUS,CLT,2023-06,127,615 715 820 1005 1525 1745,1005 1105 1210 1355 1915 2135
AA,AUS,CVG,2023-06,127,1825,2200
AA,AUS,DFW,2023-06,127,500 600 700 835 930 1030 1205 1255 1400 1500 1600 1700 1815 2000,615 715 815 950 1040 1140 1320 1410 1515 1615 1710 1815 1930 2115
AA,AUS,ECP,2023-06,32,1200,1400
AA,AUS,ELP,2023-06,127,1040 2210,1115 2250
AA,AUS,IAD,2023-06,95,1315,1740
AA,AUS,IND,2023-06,95,1105,1435
AA,AUS,JAX,2023-06,127,800 1430,1130 1800
AA,AUS,JFK,2023-06,127,730 1430,1230 1925
AA,AUS,LAS,2023-06,127,750 1555,845 1650
AA,AUS,LAX,2023-06,127,700 1220 2015,820 1335 2130
AA,AUS,MCI,2023-06,95,1630,1825
AA,AUS,MCO,2023-06,127,815 1425 1815,1155 1810 2155
AA,AUS,MEM,2023-06,127,2045,2230
AA,AUS,MIA,2023-06,127,510 710 1110 1750,905 1105 1505 2140
AA,AUS,MSY,2023-06,127,855 1405 2135,1020 1530 2300
AA,AUS,OKC,2023-06,127,2120,2240
AA,AUS,ORD,2023-06,127,600 800 1455 1655,850 1050 1745 1945
AA,AUS,PHL,2023-06,127,640 1250,1110 1720
AA,AUS,PHX,2023-06,127,650 1205 1435 1850,725 1235 1510 1920
AA,AUS,PNS,2023-06,32,945,1135
AA,AUS,RDU,2023-06,95,915 1950,1315 2350
AA,AUS,RNO,2023-06,87,1200,1335
AA,AUS,SMF,2023-06,95,845,1025
AA,AUS,SNA,2023-06,127,1030,1135
AA,AUS,TPA,2023-06,127,810 1830,1140 2200
AA,AUS,TUL,2023-06,95,2140,2305
AA,AUS,VPS,2023-06,127,1605,1800
AA,AVL,CLT,2023-06,127,520 650 900 1110 1440 1800 2025,620 750 1010 1215 1540 1900 2130
AA,AVL,DCA,2023-06,127,1735,1905
AA,AVL,DFW,2023-06,127,800 1635,935 1810
AA,AVL,LGA,2023-06,127,1430,1620
AA,AVL,MIA,2023-06,127,1640,1840
AA,AVL,ORD,2023-06,127,1320,1420
AA,AVL,PHL,2023-06,127,1105 1810,1250 1955
AA,AVP,CLT,2023-06,127,625 1150 1935,805 1335 2135
AA,BDL,CLT,2023-06,127,605 800 1010 1455 1910,810 1005 1215 1705 2115
AA,BDL,DCA,2023-06,127,530 825 1220 1430 1740 2100,655 950 1355 1600 1910 2230
AA,BDL,DFW,2023-06,127,640 1850,935 2145
AA,BDL,MIA,2023-06,127,600,910
AA,BDL,ORD,2023-06,127,715 1245 1720,850 1425 1855
AA,BDL,PHL,2023-06,127,620 1255 1525,735 1410 1640
AA,BFL,DFW,2023-06,127,615 1235,1130 1750
AA,BFL,PHX,2023-06,127,805 1645,940 1820
AA,BGR,CLT,2023-06,127,1450,1725
AA,BGR,DCA,2023-06,127,525 1235 1710,730 1435 1915
AA,BGR,ORD,2023-06,127,1740,1940
AA,BGR,PHL,2023-06,127,550 1255 1600,740 1445 1745
AA,BHM,CLT,2023-06,127,535 750 1055 1440 1710,810 1025 1330 1715 1940
AA,BHM,DCA,2023-06,127,605 1005 1535,915 1310 1840
AA,BHM,DFW,2023-06,127,525 935 1605 1720 1935,730 1150 1810 1930 2145
AA,BHM,LGA,2023-06,95,625,950
AA,BHM,MIA,2023-06,127,600 1825,855 2125
